step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,transaction_id,balance_error,timestamp,time_diff,hour,is_night,high_velocity,txn_count_1hr,velocity_risk,customer_txn_count,customer_avg_amount,customer_amount_ratio,behavior_risk,home_lat,home_long,origin_lat,origin_long,prev_origin_lat,prev_origin_long,home_distance_km,geo_distance_km,travel_speed_kmh,geo_risk,device_type,device_risk,amt_zscore,amt_log,amt_deviation,amount_risk,balance_ratio,balance_risk,fraud_score,behavior_score,merchant_score,location_score,final_score,risk_level,decision,ai_score,ai_decision,ai_reasoning
162,CASH_IN,241019.93,C1997152969,17005.0,258024.93,C1796599684,0.0,0.0,0,0,1803280,482039.86,2020-01-07 18:00:00,999999.0,18,0,0,1,0,5.0,47201.96104282115,5.106034127421662,1,38.359021945685896,-71.07117456335851,38.33316917138604,-71.03557664608644,,,4.230987628997238,0.0,0.0,0,web,1,0.1012787824430306,12.392639055174884,0.1012787824430306,0,14.1726408326473,0,0.25,0.25,0.01,0.0,0.16,LOW,APPROVE,0.1,APPROVE,"Transaction type is CASH_IN, which is generally low risk. | No significant risk flags are active."
712,CASH_OUT,344886.44,C278939913,344886.44,0.0,C1448175879,99583.8,444470.25,1,0,6358055,0.0,2020-01-30 16:00:00,999999.0,16,0,0,4,1,5.0,46915.87724711924,7.351010131885461,1,39.69337490861912,-93.72398309921462,46.32937392565302,-84.9405462217757,,,1025.6618212108383,0.0,0.0,1,web,1,0.6891962169704398,12.750973381909274,0.6891962169704398,0,0.999997100503283,1,0.51,0.35,0.38,0.3,0.41,MEDIUM,ESCALATE,0.8,BLOCK,Transaction amount is unusual and nearly drained the origin balance. | High geo risk and behavior risk are also present.
592,TRANSFER,1170213.18,C902859339,1170213.18,0.0,C1563520398,0.0,0.0,1,0,6231477,0.0,2020-01-25 16:00:00,999999.0,16,0,0,4,1,20.0,86656.56130443481,13.50387851198523,1,37.51267064977472,-82.84223765766329,43.150139822103625,-76.54494944647558,,,822.8228659523411,0.0,0.0,1,atm,1,4.910878500342911,13.972697349849591,4.910878500342911,1,0.999999145455578,1,0.94,0.46,0.43,0.3,0.62,HIGH,BLOCK,0.8,BLOCK,"Multiple strong fraud indicators are active, including balance_risk, velocity_risk, geo_risk, and behavior_risk. | The transaction type is TRANSFER, which is suspicious when combined with these indicators."
153,TRANSFER,180884.3,C705952587,0.0,0.0,C1729125336,1398113.15,1578997.45,0,0,1529388,180884.3,2020-01-07 09:00:00,999999.0,9,0,0,1,0,4.0,65396.490100499934,2.765921134313031,0,38.69846221226318,-80.79323055240278,38.785012269724334,-80.80306802645968,,,9.661672759298222,0.0,0.0,0,web,1,0.0016931067551907,12.105618407716742,0.0016931067551907,0,180884.3,1,0.25,0.08,0.2,0.0,0.15,LOW,APPROVE,0.8,ESCALATE,Transaction amount is unusual compared to overall distribution. | Transaction nearly drained the available origin balance.
259,CASH_IN,34478.56,C2004434913,14962.0,49440.56,C247370277,502254.74,467776.18,0,0,3525671,68957.12,2020-01-11 19:00:00,999999.0,19,0,0,2,0,1.0,6090.07153873717,5.660508135674968,1,26.76818207817501,-110.83262571550392,26.688486944178635,-110.83712876203109,,,8.872971941962465,0.0,0.0,0,mobile,0,-0.2407574095606472,10.448121963675325,-0.2407574095606472,0,2.304254494419568,0,0.0,0.25,0.0,0.0,0.06,LOW,APPROVE,0.1,APPROVE,Transaction type CASH_IN is generally low risk. | No significant risk signals detected.
162,CASH_OUT,254526.04,C951025951,0.0,0.0,C466368912,1540570.53,1795096.58,0,0,1797478,254526.04,2020-01-07 18:00:00,999999.0,18,0,0,1,0,3.0,68945.00795822241,3.691671897149276,0,32.2189108983379,-118.93519860843271,32.14492786237138,-118.93257983385558,,,8.230229164129197,0.0,0.0,0,web,1,0.1236451414595453,12.447162356873047,0.1236451414595453,0,254526.04,1,0.3,0.08,0.38,0.0,0.2,LOW,APPROVE,0.8,ESCALATE,Transaction amount is unusual compared to customer's average. | Transaction nearly drained the origin balance.
403,CASH_IN,53021.53,C663130782,62595.0,115616.53,C1473895632,0.0,0.0,0,0,5879212,106043.06,2020-01-17 19:00:00,999999.0,19,0,0,1,0,1.0,12874.249750523768,4.118097204121658,0,39.53609756855155,-92.76679718509064,39.51909768998157,-92.766082920021,,,1.891292637514678,0.0,0.0,0,mobile,0,-0.2100499205610418,10.87847219654688,-0.2100499205610418,0,0.8470434213048756,0,0.2,0.08,0.0,0.0,0.1,LOW,APPROVE,0.1,APPROVE,"Transaction is CASH_IN, generally low risk. | No significant risk signals detected in transaction or customer profile."
708,CASH_OUT,1494146.93,C171779643,1494146.93,0.0,C808534536,0.0,1494146.93,1,0,6353931,0.0,2020-01-30 12:00:00,999999.0,12,0,0,1,0,20.0,171909.60854962817,8.691417839805162,1,32.42271566138122,-92.58887207425865,50.517582874764095,-82.12224426417403,,,2187.846959102986,0.0,0.0,1,atm,1,5.4841783200451895,14.21706665583739,5.4841783200451895,1,0.9999993307222264,1,0.5,0.31,0.43,0.3,0.4,MEDIUM,ESCALATE,0.8,BLOCK,Transaction amount is unusual and nearly drains the origin balance. | High geo risk and behavior risk are present with a large home distance.
355,CASH_IN,81788.88,C1130152973,27982.0,109770.88,C1457128797,0.0,0.0,0,0,5072713,163577.76,2020-01-15 19:00:00,999999.0,19,0,0,1,0,1.0,27108.0859765853,3.0170283155486253,0,28.85071150824587,-70.23266271703599,28.83647408007712,-70.1744332591302,,,5.888362820603839,0.0,0.0,0,web,1,-0.162410675948512,11.311908798555915,-0.162410675948512,0,2.9228059893506773,0,0.22,0.08,0.01,0.0,0.11,LOW,APPROVE,0.1,APPROVE,"Transaction type is CASH_IN, which is generally low risk. | No strong risk signals are present in the transaction or customer profile."
230,CASH_OUT,85776.25,C798154512,0.0,0.0,C11164223,657632.17,743408.42,0,0,2949181,85776.25,2020-01-10 14:00:00,999999.0,14,0,0,1,0,2.0,28612.893765647445,2.997713303282726,0,32.75778388088397,-109.04371895139826,32.75043019074029,-109.11368122538,,,6.593419270412655,0.0,0.0,0,mobile,0,-0.1558075201211362,11.359509098802024,-0.1558075201211362,0,85776.25,1,0.25,0.08,0.19,0.0,0.15,LOW,APPROVE,0.8,BLOCK,Transaction amount is unusual compared to customer's average. | Transaction nearly drained the available origin balance.
